OrganismID,Organism
3476,Parasponia andersonii (Sponia andersonii)
3562,Spinacia oleracea (Spinach)
3694,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa)
3702,Arabidopsis thaliana (Mouse-ear cress)
3711,Brassica campestris (Field mustard)
3712,Brassica oleracea (Wild cabbage)
3755,Prunus dulcis (Almond) (Amygdalus dulcis)
3760,Prunus persica (Peach) (Amygdalus persica)
3818,Arachis hypogaea (Peanut)
3827,Cicer arietinum (Chickpea) (Garbanzo)
3871,Lupinus angustifolius (Narrow-leaved blue lupine)
3880,Medicago truncatula (Barrel medic) (Medicago tribuloides)
3983,Manihot esculenta (Cassava) (Jatropha manihot)
3988,Ricinus communis (Castor bean)
4072,Capsicum annuum (Capsicum pepper)
4081,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
4086,Nicotiana acuminata (Acuminate tobacco)
4087,Nicotiana alata (Winged tobacco) (Persian tobacco)
4093,Nicotiana rustica (Aztec tobacco)
4096,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
4097,Nicotiana tabacum (Common tobacco)
4100,Nicotiana benthamiana
4108,Solanum chacoense (Chaco potato)
4111,Solanum melongena (Eggplant) (Aubergine)
4112,Solanum nigrum (Black nightshade)
4113,Solanum tuberosum (Potato)
4146,Olea europaea (Common olive)
4155,Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus)
4529,Oryza rufipogon (Brownbeard rice) (Asian wild rice)
4533,Oryza brachyantha
4536,Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea)
4537,Oryza punctata (Red rice)
4538,Oryza glaberrima (African rice)
4540,Panicum miliaceum (Proso millet) (Broomcorn millet)
4555,Setaria italica (Foxtail millet) (Panicum italicum)
4556,Setaria viridis (Green bristlegrass) (Setaria italica subsp. viridis)
4558,Sorghum bicolor (Sorghum) (Sorghum vulgare)
4565,Triticum aestivum (Wheat)
4567,Triticum turgidum subsp. durum (Durum wheat) (Triticum durum)
4572,Triticum urartu (Red wild einkorn) (Crithodium urartu)
4577,Zea mays (Maize)
4615,Ananas comosus (Pineapple) (Ananas ananas)
15368,Brachypodium distachyon (Purple false brome) (Trachynia distachya)
22663,Punica granatum (Pomegranate)
28930,Fagus sylvatica (Beechnut)
29760,Vitis vinifera (Grape)
33113,Atropa belladonna (Belladonna) (Deadly nightshade)
33114,Capsicum baccatum (Peruvian pepper)
35889,Nicotiana glutinosa (Tobacco)
37682,Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa)
38414,Eragrostis curvula (weeping love grass)
39946,Oryza sativa subsp. indica (Rice)
39947,Oryza sativa subsp. japonica (Rice)
40148,Oryza glumipatula
40149,Oryza meridionalis
43335,Populus alba (White poplar)
49390,Coffea canephora (Robusta coffee)
49451,Nicotiana attenuata (Coyote tobacco)
51240,Juglans regia (English walnut)
51351,Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis)
52838,Musa balbisiana (Banana)
63057,Trema orientale (Charcoal tree) (Celtis orientalis)
65489,Oryza barthii
69181,Brassica cretica (Mustard)
71139,Eucalyptus grandis (Flooded gum)
74649,Rosa chinensis (China rose)
76336,Nicotiana repanda
77586,Leersia perrieri
79200,Daucus carota subsp. sativus (Carrot)
80379,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
81866,Nicotiana clevelandii (Wild tobacco)
81972,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)
81985,Capsella rubella
88036,Selaginella moellendorffii (Spikemoss)
107243,Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens)
109376,Brassica oleracea var. oleracea
109975,Solanum americanum (American black nightshade) (Solanum nodiflorum)
112509,Hordeum vulgare subsp. vulgare (Domesticated barley)
118690,Nicotiana cavicola
118701,Nicotiana linearis
118703,Nicotiana megalosiphon
118704,Nicotiana miersii
118709,Nicotiana simulans
118712,Nicotiana umbratica
131158,Saccharum hybrid cultivar R570
132261,Cuscuta campestris
157652,Mucuna pruriens (Velvet bean) (Dolichos pruriens)
172790,Solanum phureja
180498,Jatropha curcas (Barbados nut)
180675,Salvia splendens (Scarlet sage)
192259,Genlisea aurea
200300,Nicotiana spegazzinii
200301,Nicotiana corymbosa
200306,Nicotiana occidentalis subsp. hesperis
200315,Nicotiana pauciflora
200316,Nicotiana obtusifolia
200361,Aegilops tauschii subsp. strangulata (Goatgrass)
206008,Panicum hallii
267555,Cuscuta australis
278839,Nicotiana quadrivalvis
429701,Handroanthus impetiginosus
472368,Dorcoceras hygrometricum
542762,Camellia sinensis var. sinensis
888268,Dichanthelium oligosanthes
906689,Dendrobium catenatum
981085,Morus notabilis
1088818,Apostasia shenzhenica
1504633,Panicum hallii var. hallii
2094558,Prunus yedoensis var. nudiflora
