OrganismID,Organism,Solanaceae,DomainID
3476,Parasponia andersonii (Sponia andersonii),0,IRD-676
3562,Spinacia oleracea (Spinach),0,IRD-393
3694,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),0,IRD-301
3702,Arabidopsis thaliana (Mouse-ear cress),0,IRD-307
3711,Brassica campestris (Field mustard),0,IRD-310
3712,Brassica oleracea (Wild cabbage),0,IRD-311
3755,Prunus dulcis (Almond) (Amygdalus dulcis),0,IRD-325
3755,Prunus dulcis (Almond) (Amygdalus dulcis),0,IRD-357
3760,Prunus persica (Peach) (Amygdalus persica),0,IRD-325
3760,Prunus persica (Peach) (Amygdalus persica),0,IRD-357
3827,Cicer arietinum (Chickpea) (Garbanzo),0,IRD-398
3880,Medicago truncatula (Barrel medic) (Medicago tribuloides),0,IRD-381
3880,Medicago truncatula (Barrel medic) (Medicago tribuloides),0,IRD-383
3983,Manihot esculenta (Cassava) (Jatropha manihot),0,IRD-303
3983,Manihot esculenta (Cassava) (Jatropha manihot),0,IRD-302
3988,Ricinus communis (Castor bean),0,IRD-304
4072,Capsicum annuum (Capsicum pepper),1,IRD-282
4072,Capsicum annuum (Capsicum pepper),1,IRD-546
4072,Capsicum annuum (Capsicum pepper),1,IRD-97
4072,Capsicum annuum (Capsicum pepper),1,IRD-98
4072,Capsicum annuum (Capsicum pepper),1,IRD-559
4072,Capsicum annuum (Capsicum pepper),1,IRD-83
4072,Capsicum annuum (Capsicum pepper),1,IRD-89
4072,Capsicum annuum (Capsicum pepper),1,IRD-94
4072,Capsicum annuum (Capsicum pepper),1,IRD-296
4072,Capsicum annuum (Capsicum pepper),1,IRD-354
4072,Capsicum annuum (Capsicum pepper),1,IRD-416
4072,Capsicum annuum (Capsicum pepper),1,IRD-147
4072,Capsicum annuum (Capsicum pepper),1,IRD-316
4072,Capsicum annuum (Capsicum pepper),1,IRD-233
4072,Capsicum annuum (Capsicum pepper),1,IRD-520
4072,Capsicum annuum (Capsicum pepper),1,IRD-549
4072,Capsicum annuum (Capsicum pepper),1,IRD-117
4072,Capsicum annuum (Capsicum pepper),1,IRD-149
4072,Capsicum annuum (Capsicum pepper),1,IRD-560
4072,Capsicum annuum (Capsicum pepper),1,IRD-107
4072,Capsicum annuum (Capsicum pepper),1,IRD-548
4072,Capsicum annuum (Capsicum pepper),1,IRD-562
4072,Capsicum annuum (Capsicum pepper),1,IRD-135
4072,Capsicum annuum (Capsicum pepper),1,IRD-115
4072,Capsicum annuum (Capsicum pepper),1,IRD-521
4072,Capsicum annuum (Capsicum pepper),1,IRD-50
4072,Capsicum annuum (Capsicum pepper),1,IRD-280
4072,Capsicum annuum (Capsicum pepper),1,IRD-472
4072,Capsicum annuum (Capsicum pepper),1,IRD-555
4072,Capsicum annuum (Capsicum pepper),1,IRD-482
4072,Capsicum annuum (Capsicum pepper),1,IRD-60
4072,Capsicum annuum (Capsicum pepper),1,IRD-28
4072,Capsicum annuum (Capsicum pepper),1,IRD-93
4072,Capsicum annuum (Capsicum pepper),1,IRD-377
4072,Capsicum annuum (Capsicum pepper),1,IRD-15
4072,Capsicum annuum (Capsicum pepper),1,IRD-91
4072,Capsicum annuum (Capsicum pepper),1,IRD-448
4072,Capsicum annuum (Capsicum pepper),1,IRD-145
4072,Capsicum annuum (Capsicum pepper),1,IRD-534
4072,Capsicum annuum (Capsicum pepper),1,IRD-123
4072,Capsicum annuum (Capsicum pepper),1,IRD-146
4072,Capsicum annuum (Capsicum pepper),1,IRD-125
4072,Capsicum annuum (Capsicum pepper),1,IRD-404
4072,Capsicum annuum (Capsicum pepper),1,IRD-289
4072,Capsicum annuum (Capsicum pepper),1,IRD-693
4072,Capsicum annuum (Capsicum pepper),1,IRD-120
4072,Capsicum annuum (Capsicum pepper),1,IRD-49
4072,Capsicum annuum (Capsicum pepper),1,IRD-502
4072,Capsicum annuum (Capsicum pepper),1,IRD-474
4072,Capsicum annuum (Capsicum pepper),1,IRD-136
4072,Capsicum annuum (Capsicum pepper),1,IRD-67
4072,Capsicum annuum (Capsicum pepper),1,IRD-544
4072,Capsicum annuum (Capsicum pepper),1,IRD-564
4072,Capsicum annuum (Capsicum pepper),1,IRD-561
4072,Capsicum annuum (Capsicum pepper),1,IRD-100
4072,Capsicum annuum (Capsicum pepper),1,IRD-96
4072,Capsicum annuum (Capsicum pepper),1,IRD-101
4072,Capsicum annuum (Capsicum pepper),1,IRD-127
4072,Capsicum annuum (Capsicum pepper),1,IRD-519
4072,Capsicum annuum (Capsicum pepper),1,IRD-116
4072,Capsicum annuum (Capsicum pepper),1,IRD-130
4072,Capsicum annuum (Capsicum pepper),1,IRD-99
4072,Capsicum annuum (Capsicum pepper),1,IRD-547
4072,Capsicum annuum (Capsicum pepper),1,IRD-102
4072,Capsicum annuum (Capsicum pepper),1,IRD-557
4072,Capsicum annuum (Capsicum pepper),1,IRD-128
4072,Capsicum annuum (Capsicum pepper),1,IRD-48
4072,Capsicum annuum (Capsicum pepper),1,IRD-545
4072,Capsicum annuum (Capsicum pepper),1,IRD-451
4072,Capsicum annuum (Capsicum pepper),1,IRD-139
4072,Capsicum annuum (Capsicum pepper),1,IRD-232
4072,Capsicum annuum (Capsicum pepper),1,IRD-551
4072,Capsicum annuum (Capsicum pepper),1,IRD-444
4072,Capsicum annuum (Capsicum pepper),1,IRD-143
4072,Capsicum annuum (Capsicum pepper),1,IRD-122
4072,Capsicum annuum (Capsicum pepper),1,IRD-121
4072,Capsicum annuum (Capsicum pepper),1,IRD-137
4072,Capsicum annuum (Capsicum pepper),1,IRD-82
4072,Capsicum annuum (Capsicum pepper),1,IRD-412
4072,Capsicum annuum (Capsicum pepper),1,IRD-10
4072,Capsicum annuum (Capsicum pepper),1,IRD-692
4072,Capsicum annuum (Capsicum pepper),1,IRD-415
4072,Capsicum annuum (Capsicum pepper),1,IRD-295
4072,Capsicum annuum (Capsicum pepper),1,IRD-43
4072,Capsicum annuum (Capsicum pepper),1,IRD-14
4072,Capsicum annuum (Capsicum pepper),1,IRD-104
