OrganismID,Organism,Solanaceae
3476,Parasponia andersonii (Sponia andersonii),0
3562,Spinacia oleracea (Spinach),0
3694,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),0
3702,Arabidopsis thaliana (Mouse-ear cress),0
3711,Brassica campestris (Field mustard),0
3712,Brassica oleracea (Wild cabbage),0
3726,Raphanus sativus (Radish) (Raphanus raphanistrum var. sativus),0
3755,Prunus dulcis (Almond) (Amygdalus dulcis),0
3760,Prunus persica (Peach) (Amygdalus persica),0
3818,Arachis hypogaea (Peanut),0
3827,Cicer arietinum (Chickpea) (Garbanzo),0
3870,Lupinus albus (White lupine) (Lupinus termis),0
3871,Lupinus angustifolius (Narrow-leaved blue lupine),0
3880,Medicago truncatula (Barrel medic) (Medicago tribuloides),0
3981,Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis),0
3983,Manihot esculenta (Cassava) (Jatropha manihot),0
3988,Ricinus communis (Castor bean),0
4045,Apium graveolens (Celery),0
4072,Capsicum annuum (Capsicum pepper),1
4081,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),1
4083,Solanum chilense (Tomato) (Lycopersicon chilense),1
4086,Nicotiana acuminata (Acuminate tobacco),1
4087,Nicotiana alata (Winged tobacco) (Persian tobacco),1
4093,Nicotiana rustica (Aztec tobacco),1
4096,Nicotiana sylvestris (Wood tobacco) (South American tobacco),1
4097,Nicotiana tabacum (Common tobacco),1
4100,Nicotiana benthamiana,1
4108,Solanum chacoense (Chaco potato),1
4111,Solanum melongena (Eggplant) (Aubergine),1
4112,Solanum nigrum (Black nightshade),1
4113,Solanum tuberosum (Potato),1
4146,Olea europaea (Common olive),0
4155,Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus),0
4529,Oryza rufipogon (Brownbeard rice) (Asian wild rice),0
4533,Oryza brachyantha,0
4536,Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea),0
4537,Oryza punctata (Red rice),0
4538,Oryza glaberrima (African rice),0
4540,Panicum miliaceum (Proso millet) (Broomcorn millet),0
4555,Setaria italica (Foxtail millet) (Panicum italicum),0
4556,Setaria viridis (Green bristlegrass) (Setaria italica subsp. viridis),0
4558,Sorghum bicolor (Sorghum) (Sorghum vulgare),0
4565,Triticum aestivum (Wheat),0
4567,Triticum turgidum subsp. durum (Durum wheat) (Triticum durum),0
4572,Triticum urartu (Red wild einkorn) (Crithodium urartu),0
4577,Zea mays (Maize),0
4615,Ananas comosus (Pineapple) (Ananas ananas),0
13443,Coffea arabica (Arabian coffee),0
15368,Brachypodium distachyon (Purple false brome) (Trachynia distachya),0
22663,Punica granatum (Pomegranate),0
28930,Fagus sylvatica (Beechnut),0
29760,Vitis vinifera (Grape),0
33113,Atropa belladonna (Belladonna) (Deadly nightshade),1
33114,Capsicum baccatum (Peruvian pepper),1
35889,Nicotiana glutinosa (Tobacco),1
36596,Prunus armeniaca (Apricot) (Armeniaca vulgaris),0
37682,Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa),0
38414,Eragrostis curvula (weeping love grass),0
39946,Oryza sativa subsp. indica (Rice),0
39947,Oryza sativa subsp. japonica (Rice),0
40148,Oryza glumipatula,0
40149,Oryza meridionalis,0
40686,Salix viminalis (Common osier) (Basket willow),0
43335,Populus alba (White poplar),0
49390,Coffea canephora (Robusta coffee),0
49451,Nicotiana attenuata (Coyote tobacco),1
51351,Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis),0
52838,Musa balbisiana (Banana),0
63057,Trema orientale (Charcoal tree) (Celtis orientalis),0
65489,Oryza barthii,0
66656,Durio zibethinus (Durian),0
69181,Brassica cretica (Mustard),0
71139,Eucalyptus grandis (Flooded gum),0
74649,Rosa chinensis (China rose),0
76336,Nicotiana repanda,1
77586,Leersia perrieri,0
79200,Daucus carota subsp. sativus (Carrot),0
80379,Capsicum chinense (Scotch bonnet) (Bonnet pepper),1
81866,Nicotiana clevelandii (Wild tobacco),1
81972,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),0
81985,Capsella rubella,0
88036,Selaginella moellendorffii (Spikemoss),0
107243,Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens),0
109376,Brassica oleracea var. oleracea,0
109975,Solanum americanum (American black nightshade) (Solanum nodiflorum),1
110450,Oryza meyeriana var. granulata,0
112509,Hordeum vulgare subsp. vulgare (Domesticated barley),0
118690,Nicotiana cavicola,1
118701,Nicotiana linearis,1
118703,Nicotiana megalosiphon,1
118704,Nicotiana miersii,1
118709,Nicotiana simulans,1
118712,Nicotiana umbratica,1
130453,Arachis duranensis (Wild peanut),0
131158,Saccharum hybrid cultivar R570,0
132261,Cuscuta campestris,0
157652,Mucuna pruriens (Velvet bean) (Dolichos pruriens),0
172790,Solanum phureja,1
176857,Carpinus fangiana,0
180498,Jatropha curcas (Barbados nut),0
180675,Salvia splendens (Scarlet sage),0
192259,Genlisea aurea,0
200300,Nicotiana spegazzinii,1
200301,Nicotiana corymbosa,1
200306,Nicotiana occidentalis subsp. hesperis,1
200315,Nicotiana pauciflora,1
200316,Nicotiana obtusifolia,1
200361,Aegilops tauschii subsp. strangulata (Goatgrass),0
206008,Panicum hallii,0
262757,Morella rubra,0
267555,Cuscuta australis,0
278839,Nicotiana quadrivalvis,1
296719,Ananas comosus var. bracteatus,0
429701,Handroanthus impetiginosus,0
472368,Dorcoceras hygrometricum,0
542762,Camellia sinensis var. sinensis,0
888268,Dichanthelium oligosanthes,0
906689,Dendrobium catenatum,0
981085,Morus notabilis,0
1088818,Apostasia shenzhenica,0
1504633,Panicum hallii var. hallii,0
1685480,Microthlaspi erraticum,0
2044939,Clostridia bacterium,0
2094558,Prunus yedoensis var. nudiflora,0
2182728,Salix brachista,0
