Genus,Number of IRDs
Nicotiana,267
Capsicum,184
Solanum,152
Selaginella,10
Coffea,5
Rosa,5
Oryza,4
Panicum,3
Cuscuta,3
Triticum,3
Sorghum,3
Prunus,3
Dichanthelium,3
Setaria,2
Brassica,2
Saccharum,2
Arabidopsis,2
Genlisea,2
Aegilops,2
Zea,2
Manihot,2
Handroanthus,2
Leersia,2
Ananas,2
Medicago,2
Juglans,1
Daucus,1
Fagus,1
Spinacia,1
Morus,1
Ricinus,1
Brachypodium,1
Olea,1
Cicer,1
Erythranthe,1
Jatropha,1
Vitis,1
Dorcoceras,1
Capsella,1
Trema,1
Apostasia,1
Dendrobium,1
Noccaea,1
Mucuna,1
Populus,1
Eucalyptus,1
Hordeum,1
Punica,1
Parasponia,1
