Organism,sequence_count
Capsicum annuum (Bell pepper),99
Solanum tuberosum (Potato),52
Nicotiana tabacum (Common tobacco),22
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),19
Capsicum chinense (Scotch bonnet) (Bonnet pepper),13
Capsicum baccatum (Peruvian pepper),11
Nicotiana attenuata (Coyote tobacco),11
Nicotiana sylvestris (Wood tobacco) (South American tobacco),10
Selaginella moellendorffii (Spikemoss),7
Coffea canephora (Robusta coffee),6
Rosa chinensis (China rose),5
Solanum chacoense (Chaco potato),5
Cuscuta australis,4
Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens),4
Solanum americanum (American black nightshade) (Solanum nodiflorum),4
Solanum nigrum (Black nightshade),4
Quercus suber (Cork oak),4
Panicum hallii var. hallii,4
Dichanthelium oligosanthes,4
Handroanthus impetiginosus,3
Sorghum bicolor (Sorghum) (Sorghum vulgare),3
Ananas comosus (Pineapple) (Ananas ananas),3
Prunus persica (Peach) (Amygdalus persica),3
Nicotiana alata (Winged tobacco) (Persian tobacco),2
Medicago truncatula (Barrel medic) (Medicago tribuloides),2
Arabidopsis thaliana (Mouse-ear cress),2
Nicotiana obtusifolia,2
Nicotiana glutinosa (Tobacco),2
Zea mays (Maize),2
Saccharum hybrid cultivar R570,2
Brachypodium distachyon (Purple false brome) (Trachynia distachya),2
Manihot esculenta (Cassava) (Jatropha manihot),2
Genlisea aurea,2
Setaria italica (Foxtail millet) (Panicum italicum),2
Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),2
Leersia perrieri,2
Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa),1
Eucalyptus grandis (Flooded gum),1
Daucus carota subsp. sativus,1
Prunus yedoensis var. nudiflora,1
Solanum melongena (Eggplant) (Aubergine),1
Vitis vinifera (Grape),1
Nicotiana quadrivalvis,1
Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea),1
Oryza glaberrima (African rice),1
Spinacia oleracea (Spinach),1
Panicum hallii,1
Triticum urartu (Red wild einkorn) (Crithodium urartu),1
Cicer arietinum (Chickpea) (Garbanzo),1
Oryza glumipatula,1
Nicotiana linearis,1
Jatropha curcas (Barbados nut),1
Nicotiana miersii,1
Mucuna pruriens (Velvet bean) (Dolichos pruriens),1
Nicotiana repanda,1
Oryza barthii,1
Nicotiana corymbosa,1
Oryza sativa subsp. indica (Rice),1
Nicotiana megalosiphon,1
Morus notabilis,1
Parasponia andersonii (Sponia andersonii),1
Nicotiana simulans,1
Nicotiana clevelandii (Wild tobacco),1
Brassica oleracea var. oleracea,1
Dorcoceras hygrometricum,1
Oryza rufipogon (Brownbeard rice) (Asian wild rice),1
Nicotiana umbratica,1
Triticum aestivum (Wheat),1
Oryza brachyantha,1
Trema orientale (Charcoal tree) (Celtis orientalis),1
Oryza sativa subsp. japonica (Rice),1
Dendrobium catenatum,1
Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus),1
Oryza punctata (Red rice),1
Ricinus communis (Castor bean),1
Nicotiana acuminata (Acuminate tobacco),1
Oryza meridionalis,1
Olea europaea (Common olive),1
Apostasia shenzhenica,1
Atropa belladonna (Belladonna) (Deadly nightshade),1
Hordeum vulgare subsp. vulgare (Domesticated barley),1
Punica granatum (Pomegranate),1
Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis),1
Nicotiana cavicola,1
Juglans regia (English walnut),1
Nicotiana occidentalis subsp. hesperis,1
Nicotiana pauciflora,1
Capsella rubella,1
Nicotiana benthamiana,1
Nicotiana rustica (Aztec tobacco),1
Nicotiana spegazzinii,1
Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),1
Solanum phureja,1
Fagus sylvatica (Beechnut),1
